x	y	z	score	incomprehensibleMarkings	offensiveMarkings
coffee order	Grenfell Tower jokes	Too Soon	[1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5]	1	0
women	coffee	in a plastic cup	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4]	0	0
­	­	autism	[1,1,1,1,1,1,1,2,2,2,2,2,3]	0	1
women	priests	virtuous	[1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4]	0	0
tv-shows	babysitting	filled with sexual tension	[1,1,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5]	0	0
men	feeling	desperate	[1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5]	0	0
sex with my girlfriend	girlfriend	she sucks	[1,1,2,2,2,2,4,5,5,5,5,5]	0	1
women	coffee	warm and comforting	[1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5]	0	0
men	arms	concealed	[1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3]	1	0
mother	recently bought house	back on sale again	[1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,4,5]	1	0
women	novel	lesbian	[1,1,1,1,1,1,2,2,2,2,3,4]	1	0
jokes	eskimo pussies	rather cold	[1,1,2,2,2,2,3,3,3,3,3,3,5,5]	0	0
partners	feeling	guilty	[1,1,1,1,1,2,2,2,2,2,2,2,3]	1	0
men	sheer	rising	[1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2]	1	0
coffee	muscle	dried	[1,1,1,1,1,1,1,1,1,2,2,5,5]	1	0
women	men	comely	[1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2]	1	0
hands	interest	low when building a house	[1,1,1,1,2,2,2,2,2,3,3,3]	1	0
mother	farmers	working hard	[1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,5]	1	0
women	mind	trusting	[1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4]	0	0
coffee	myself	pouring	[1,1,1,1,1,1,1,1,2,2,2,2,3,3]	1	0
friends	achievements	viable	[1,1,1,2,2,2,3,3,3,3,3,4]	1	0
dick	politics	going so far left that I can't get laid	[1,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5]	0	0
coffee	women	black, bitter and preferably fair trade	[1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,5]	0	0
Chinese people	bananas	YELLOW	[1,1,1,1,2,2,2,2,2,2,3,3,3,4,4]	0	0
sex	abortions	weekly	[1,1,1,2,2,2,2,2,2,3,3,3,3,4]	0	1
father-in-law	glasses	warps my perspective on the world	[1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4]	0	0
lovers	piano tuners	touching my strings in the right places	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,5,5]	0	0
men	management	wretched	[1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4]	1	0
Doctors	wifi	Available & free	[2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5]	0	0
coffee	women	bitter as hell	[2,2,2,2,3,3,4,4,5,5,5,5,5,5]	1	0
bananas	slopes	slippery	[1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,5]	0	0
women	breast	postmenopausal	[1,1,1,1,1,1,1,2,2,2,2,3,4]	0	1
tea	liquor	straight and strong	[1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,4,5]	1	0
coffee	women	full of whiskey	[1,1,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5]	0	0
terrorist attacks	bee movie	According to all known laws of aviation...	[1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,4,4,4,5]	1	0
sex	value	fair	[1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,4,4]	1	0
women	vodka	cold, cheap and smelly	[1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5]	0	0
coffee	myself	dark, bitter and too hot for you	[1,1,1,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5,5,5,5]	0	0
women	cheese	fat-free singles only	[1,2,2,2,2,3,4,4,4,4,4,5,5,5,5,5]	1	0
love	ravines	something deep you climb together	[1,1,2,2,2,2,3,3,3,3,3,5]	1	0
sex	tv	if I don't like what's on, I switch channels	[1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,5,5,5]	1	0
boobs	government	big	[1,2,2,2,2,2,2,2,3,3,3,5]	0	1
relationships	reality tv shows	hugely entertaining but too embarrassing to talk about	[1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5]	0	0
people	back	hurt	[1,1,1,1,1,1,2,2,2,3,3,3,4,4,4]	0	1
women	tool kits	useful for screwing or hitting	[1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,5]	1	0
men	picture frames	well hung	[1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5]	1	0
